Competitions,Frequency,Replicate,Lac_marker,Competitor,Hour,Lac_CFU,Comp_CFU,Pop_CFU,Lac_proportion,Comp_proportion
PA14 pilA vs Lac Ancestor,1:9,1,Lac Ancestor,PA14 pilA,0,3.00E+05,5.00E+06,5.30E+06,5.66E-02,9.43E-01
PA14 pilA vs Lac Ancestor,1:9,2,Lac Ancestor,PA14 pilA,0,9.00E+05,5.20E+06,6.10E+06,1.48E-01,8.52E-01
PA14 pilA vs Lac Ancestor,1:9,3,Lac Ancestor,PA14 pilA,0,5.00E+05,6.90E+06,7.40E+06,6.76E-02,9.32E-01
PA14 pilA vs Lac Ancestor,9:1,1,Lac Ancestor,PA14 pilA,0,5.40E+06,6.00E+05,6.00E+06,9.00E-01,1.00E-01
PA14 pilA vs Lac Ancestor,9:1,2,Lac Ancestor,PA14 pilA,0,6.60E+06,8.00E+05,7.40E+06,8.92E-01,1.08E-01
PA14 pilA vs Lac Ancestor,9:1,3,Lac Ancestor,PA14 pilA,0,4.80E+06,4.00E+05,5.20E+06,9.23E-01,7.69E-02
PA14 Ancestor vs new G1,1:9,1,new G1,PA14 pilA,0,2.00E+04,5.40E+06,5.42E+06,3.69E-03,9.96E-01
PA14 Ancestor vs new G1,1:9,2,new G1,PA14 pilA,0,8.00E+04,5.70E+06,5.78E+06,1.38E-02,9.86E-01
PA14 Ancestor vs new G1,1:9,3,new G1,PA14 pilA,0,8.00E+04,6.80E+06,6.88E+06,1.16E-02,9.88E-01
PA14 Ancestor vs new G1,9:1,1,new G1,PA14 pilA,0,1.50E+05,5.00E+05,6.50E+05,2.31E-01,7.69E-01
PA14 Ancestor vs new G1,9:1,2,new G1,PA14 pilA,0,3.90E+05,7.80E+05,1.17E+06,3.33E-01,6.67E-01
PA14 Ancestor vs new G1,9:1,3,new G1,PA14 pilA,0,8.90E+05,9.60E+05,1.85E+06,4.81E-01,5.19E-01
PA14 Ancestor vs new G1,99:1,1,new G1,PA14 pilA,0,1.60E+05,2.30E+05,3.90E+05,4.10E-01,5.90E-01
PA14 Ancestor vs new G1,99:1,2,new G1,PA14 pilA,0,4.20E+05,2.60E+05,6.80E+05,6.18E-01,3.82E-01
PA14 Ancestor vs new G1,99:1,3,new G1,PA14 pilA,0,9.30E+05,2.50E+05,1.18E+06,7.88E-01,2.12E-01
PA14 Ancestor vs B1,1:9,1,B1,PA14 pilA,0,1.80E+05,4.40E+06,4.58E+06,3.93E-02,9.61E-01
PA14 Ancestor vs B1,1:9,2,B1,PA14 pilA,0,1.30E+05,4.90E+06,5.03E+06,2.58E-02,9.74E-01
PA14 Ancestor vs B1,1:9,3,B1,PA14 pilA,0,2.10E+05,6.70E+06,6.91E+06,3.04E-02,9.70E-01
PA14 Ancestor vs B1,9:1,1,B1,PA14 pilA,0,9.20E+05,6.40E+05,1.56E+06,5.90E-01,4.10E-01
PA14 Ancestor vs B1,9:1,2,B1,PA14 pilA,0,8.10E+05,6.20E+05,1.43E+06,5.66E-01,4.34E-01
PA14 Ancestor vs B1,9:1,3,B1,PA14 pilA,0,1.71E+06,9.10E+05,2.62E+06,6.53E-01,3.47E-01
PA14 Ancestor vs B1,99:1,1,B1,PA14 pilA,0,1.43E+06,1.50E+05,1.58E+06,9.05E-01,9.49E-02
PA14 Ancestor vs B1,99:1,2,B1,PA14 pilA,0,1.32E+06,1.90E+05,1.51E+06,8.74E-01,1.26E-01
PA14 Ancestor vs B1,99:1,3,B1,PA14 pilA,0,1.60E+06,2.90E+05,1.89E+06,8.47E-01,1.53E-01
PA14 pilA vs Lac Ancestor,1:9,1,Lac Ancestor,PA14 pilA,4,1.30E+07,1.20E+08,1.33E+08,9.77E-02,9.02E-01
PA14 pilA vs Lac Ancestor,1:9,2,Lac Ancestor,PA14 pilA,4,2.10E+07,2.01E+08,2.22E+08,9.46E-02,9.05E-01
PA14 pilA vs Lac Ancestor,1:9,3,Lac Ancestor,PA14 pilA,4,1.20E+07,2.72E+08,2.84E+08,4.23E-02,9.58E-01
PA14 pilA vs Lac Ancestor,9:1,1,Lac Ancestor,PA14 pilA,4,1.19E+08,5.50E+07,1.74E+08,6.84E-01,3.16E-01
PA14 pilA vs Lac Ancestor,9:1,2,Lac Ancestor,PA14 pilA,4,1.56E+08,5.10E+07,2.07E+08,7.54E-01,2.46E-01
PA14 pilA vs Lac Ancestor,9:1,3,Lac Ancestor,PA14 pilA,4,1.40E+08,4.50E+07,1.85E+08,7.57E-01,2.43E-01
PA14 Ancestor vs new G1,1:9,1,new G1,PA14 pilA,4,1.00E+05,1.36E+08,1.36E+08,7.35E-04,9.99E-01
PA14 Ancestor vs new G1,1:9,2,new G1,PA14 pilA,4,2.00E+05,1.99E+08,1.99E+08,1.00E-03,9.99E-01
