##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate1,1.3,TimeFormat,Kinetic,Absorbance,Raw,FALSE,97,86400,900,,,,1,600,1,12,96,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Temperature(¡C),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:00,37,0.0936,0.0867,0.0874,0.087,0.0869,0.0871,0.0873,0.0875,0.0872,0.0867,0.0861,0.0861,0.085,0.0945,0.0963,0.0985,0.0967,0.0965,0.0955,0.1005,0.1001,0.099,0.0853,0.0853,0.0854,0.0942,0.0988,0.0964,0.0971,0.0985,0.0982,0.1011,0.1004,0.0976,0.0851,0.0853,0.0856,0.1008,0.0997,0.0997,0.0861,0.0847,0.0842,0.085,0.0864,0.0862,0.0853,0.0869,0.0849,0.0933,0.0964,0.094,0.0978,0.0944,0.0963,0.0963,0.0975,0.0958,0.0854,0.0857,0.0881,0.0959,0.0946,0.0942,0.0969,0.0962,0.0946,0.0954,0.0964,0.095,0.0858,0.0857,0.0859,0.0878,0.0856,0.0893,0.087,0.0884,0.0896,0.0886,0.0871,0.0861,0.0863,0.0868,0.0859,0.0866,0.0872,0.0868,0.0889,0.0938,0.0869,0.0868,0.0866,0.087,0.0879,0.0869
0:15:00,37,0.0936,0.087,0.0872,0.0867,0.0868,0.0871,0.087,0.0876,0.0869,0.0869,0.086,0.0863,0.0847,0.0913,0.0933,0.0951,0.0941,0.0935,0.0932,0.0982,0.0964,0.0965,0.0851,0.0854,0.0854,0.0921,0.0946,0.0933,0.0934,0.0941,0.0941,0.0968,0.0959,0.094,0.0851,0.0852,0.0852,0.0963,0.0957,0.095,0.0853,0.0844,0.0835,0.0848,0.0863,0.0857,0.0852,0.0871,0.0845,0.0899,0.0929,0.0909,0.0948,0.0918,0.0931,0.0929,0.0943,0.0921,0.0851,0.0853,0.0879,0.0924,0.0921,0.0927,0.0949,0.0929,0.0928,0.0926,0.0941,0.0928,0.0859,0.0853,0.0856,0.0875,0.0857,0.0899,0.0868,0.0881,0.0895,0.0889,0.0869,0.0865,0.0862,0.0868,0.0855,0.0865,0.0878,0.0874,0.09,0.0944,0.0876,0.0874,0.0873,0.0877,0.0881,0.087
0:30:00,37,0.0929,0.087,0.0873,0.0869,0.0867,0.0868,0.0869,0.0876,0.087,0.0867,0.0862,0.0861,0.0846,0.0914,0.0937,0.0954,0.094,0.0936,0.0929,0.0984,0.0971,0.0965,0.0852,0.0854,0.0854,0.0921,0.0958,0.0934,0.0934,0.0939,0.0942,0.0969,0.0952,0.0933,0.0851,0.0854,0.0853,0.0961,0.0953,0.0951,0.0859,0.0845,0.0839,0.0849,0.0862,0.0861,0.0853,0.0873,0.0848,0.0894,0.0928,0.0907,0.0948,0.0914,0.0927,0.093,0.0937,0.0916,0.0853,0.0854,0.0879,0.0921,0.0912,0.0923,0.0947,0.0926,0.0921,0.0923,0.0933,0.0925,0.0855,0.0855,0.0859,0.0878,0.0861,0.0898,0.0873,0.0883,0.0898,0.0893,0.0871,0.0866,0.0863,0.0868,0.086,0.0867,0.088,0.0873,0.0902,0.0939,0.0877,0.0878,0.0872,0.0877,0.0883,0.0875
0:45:00,37,0.0934,0.0875,0.0874,0.0871,0.0868,0.0872,0.0874,0.0876,0.0871,0.087,0.0861,0.0865,0.0847,0.0921,0.0944,0.0967,0.095,0.0945,0.0937,0.1005,0.0985,0.0981,0.0851,0.0854,0.0858,0.092,0.0953,0.0936,0.0938,0.0947,0.095,0.0973,0.0964,0.0936,0.0853,0.0855,0.0852,0.097,0.0966,0.0952,0.0856,0.0847,0.0842,0.0851,0.0863,0.0861,0.0855,0.0876,0.0849,0.0895,0.0928,0.0908,0.0952,0.0922,0.0929,0.0929,0.0941,0.0919,0.0854,0.0857,0.0876,0.0921,0.0913,0.0921,0.0942,0.0924,0.0923,0.0923,0.0931,0.0925,0.0855,0.086,0.0859,0.0875,0.0857,0.0897,0.087,0.0885,0.0894,0.0887,0.0874,0.0864,0.0857,0.0867,0.0862,0.0868,0.0876,0.0874,0.0896,0.0941,0.0874,0.0871,0.087,0.0876,0.0881,0.0872
1:00:00,37,0.093,0.0874,0.0872,0.0869,0.0869,0.0871,0.0871,0.0871,0.0869,0.0867,0.0862,0.0862,0.085,0.094,0.0963,0.0992,0.0966,0.0964,0.095,0.1031,0.1017,0.101,0.0854,0.0856,0.0854,0.0924,0.0961,0.0943,0.0942,0.095,0.0958,0.0979,0.0973,0.0942,0.0851,0.0856,0.0854,0.0978,0.0969,0.0962,0.0861,0.0848,0.0842,0.0851,0.0862,0.0865,0.0855,0.0876,0.0851,0.0901,0.0941,0.0912,0.0967,0.0935,0.0946,0.094,0.0952,0.0926,0.0854,0.086,0.0875,0.0925,0.0911,0.0922,0.0946,0.0927,0.0922,0.0926,0.0939,0.0933,0.0854,0.0855,0.0861,0.0877,0.0862,0.0899,0.0873,0.0886,0.0898,0.0892,0.0875,0.0867,0.0866,0.0871,0.0866,0.0873,0.0878,0.0874,0.0898,0.0948,0.0879,0.0879,0.0878,0.088,0.0884,0.0876
1:15:00,37,0.0932,0.0876,0.0876,0.0868,0.0872,0.0874,0.0874,0.0878,0.0874,0.0864,0.0864,0.0862,0.0848,0.0974,0.0992,0.1027,0.1,0.0993,0.0978,0.1079,0.1074,0.1061,0.0853,0.0855,0.0855,0.0927,0.0975,0.0948,0.0952,0.096,0.097,0.0995,0.0979,0.0951,0.0851,0.0854,0.0855,0.0986,0.0982,0.0972,0.0861,0.0847,0.0842,0.0851,0.0865,0.086,0.0854,0.0875,0.085,0.091,0.0949,0.0922,0.0985,0.0953,0.0962,0.0956,0.0966,0.0939,0.0856,0.0857,0.0878,0.0929,0.0912,0.0924,0.0951,0.0929,0.0924,0.0938,0.095,0.0945,0.0858,0.0861,0.0861,0.088,0.0862,0.0903,0.0873,0.0886,0.0901,0.0894,0.0877,0.087,0.0867,0.087,0.0869,0.0871,0.0876,0.0879,0.0895,0.0942,0.0879,0.0879,0.088,0.0882,0.0883,0.0875
1:30:00,37,0.0926,0.0872,0.0873,0.0871,0.0871,0.0869,0.0873,0.0876,0.0868,0.087,0.0861,0.0861,0.0848,0.1062,0.1077,0.1113,0.1091,0.1064,0.1037,0.1216,0.122,0.1207,0.0857,0.0854,0.0856,0.0948,0.1003,0.0967,0.0983,0.0994,0.1005,0.1033,0.1036,0.098,0.0852,0.0855,0.0856,0.1019,0.1008,0.0999,0.0859,0.0848,0.0841,0.0853,0.0866,0.0862,0.0857,0.0877,0.0851,0.0919,0.0962,0.0932,0.1015,0.0977,0.0992,0.0981,0.099,0.0955,0.0853,0.0859,0.0883,0.0935,0.0914,0.0931,0.0959,0.0937,0.0931,0.0959,0.0971,0.0965,0.0857,0.086,0.0863,0.0878,0.0864,0.0899,0.0877,0.0888,0.0899,0.0896,0.0877,0.0871,0.0868,0.0875,0.0864,0.0874,0.0882,0.0877,0.0897,0.0948,0.0882,0.0879,0.0878,0.0882,0.0887,0.0878
1:45:00,37,0.0932,0.0873,0.0875,0.0874,0.0873,0.0873,0.0878,0.0877,0.0872,0.0872,0.0866,0.0865,0.0852,0.1203,0.1222,0.1256,0.1231,0.1202,0.1178,0.1373,0.1359,0.1346,0.0856,0.0858,0.0859,0.0976,0.1069,0.1006,0.1043,0.106,0.1065,0.112,0.1124,0.1048,0.0854,0.0858,0.0858,0.1072,0.107,0.106,0.0861,0.0851,0.0844,0.0853,0.0865,0.0865,0.0857,0.0876,0.085,0.0935,0.0983,0.0946,0.1054,0.1018,0.1031,0.1021,0.103,0.0981,0.0856,0.0856,0.0876,0.0949,0.0922,0.0939,0.0967,0.0938,0.0937,0.0984,0.0996,0.0992,0.0859,0.0858,0.0862,0.0882,0.0863,0.0902,0.0876,0.089,0.0902,0.0893,0.0879,0.087,0.0873,0.0872,0.0866,0.0867,0.0882,0.0874,0.0888,0.0946,0.0878,0.0876,0.0875,0.0878,0.0884,0.0873
2:00:00,37,0.0928,0.0871,0.0885,0.087,0.087,0.087,0.0869,0.0874,0.0871,0.0869,0.086,0.0862,0.0847,0.1345,0.137,0.1377,0.1364,0.1332,0.1318,0.1506,0.1496,0.1486,0.0855,0.0857,0.0856,0.105,0.1174,0.1079,0.1115,0.1129,0.1166,0.1207,0.1215,0.114,0.0852,0.0858,0.0857,0.1149,0.116,0.1133,0.086,0.0849,0.0842,0.0854,0.0865,0.0864,0.0858,0.0875,0.0848,0.0959,0.1032,0.0972,0.1128,0.1094,0.111,0.1086,0.1093,0.1021,0.0856,0.0858,0.0877,0.0956,0.0942,0.0943,0.0977,0.0947,0.0942,0.1018,0.1033,0.103,0.0859,0.0858,0.086,0.088,0.0874,0.0902,0.0872,0.0882,0.09,0.089,0.0877,0.0868,0.0866,0.0874,0.0868,0.0873,0.0894,0.088,0.0896,0.0947,0.0884,0.0883,0.0884,0.0885,0.0887,0.0878
2:15:00,37,0.0927,0.0872,0.0875,0.0879,0.0868,0.0872,0.0871,0.0875,0.087,0.0869,0.086,0.0862,0.0851,0.1476,0.1481,0.1517,0.1484,0.1457,0.1441,0.1645,0.1627,0.1622,0.0859,0.0857,0.0858,0.1138,0.1234,0.1177,0.1199,0.1217,0.1235,0.1305,0.1319,0.1237,0.0853,0.0859,0.0856,0.1239,0.1226,0.123,0.0862,0.0849,0.0845,0.0855,0.0866,0.0865,0.0855,0.0878,0.0847,0.0999,0.1079,0.1032,0.1229,0.118,0.1201,0.1182,0.1181,0.1088,0.0858,0.0858,0.0879,0.0974,0.0935,0.0968,0.0991,0.0955,0.0953,0.1106,0.1105,0.1102,0.0859,0.0862,0.0865,0.0879,0.086,0.0916,0.0874,0.0888,0.0901,0.0893,0.0878,0.0873,0.0868,0.0873,0.0865,0.0873,0.0882,0.089,0.0895,0.0943,0.0879,0.0881,0.088,0.0882,0.0885,0.0872
