abbreviation,bio_rep,bacteria,supernatant,hour,cfu,dilution,mL plated,CFU/mL
AA,1,Ancestor,Ancestor,0,64,10000,0.1,6.40E+06
AA,2,Ancestor,Ancestor,0,47,10000,0.1,4.70E+06
AA,3,Ancestor,Ancestor,0,43,10000,0.1,4.30E+06
AB,1,Ancestor,B1,0,62,10000,0.1,6.20E+06
AB,2,Ancestor,B1,0,61,10000,0.1,6.10E+06
AB,3,Ancestor,B1,0,45,10000,0.1,4.50E+06
AG,1,Ancestor,new G1,0,44,10000,0.1,4.40E+06
AG,2,Ancestor,new G1,0,51,10000,0.1,5.10E+06
AG,3,Ancestor,new G1,0,59,10000,0.1,5.90E+06
A,1,Ancestor,NA,0,60,10000,0.1,6.00E+06
A,2,Ancestor,NA,0,73,10000,0.1,7.30E+06
A,3,Ancestor,NA,0,62,10000,0.1,6.20E+06
B,1,B1,NA,0,209,1000,0.1,2.09E+06
B,2,B1,NA,0,223,1000,0.1,2.23E+06
B,3,B1,NA,0,210,1000,0.1,2.10E+06
G,1,new G1,NA,0,61,1000,0.1,6.10E+05
G,2,new G1,NA,0,46,1000,0.1,4.60E+05
G,3,new G1,NA,0,51,1000,0.1,5.10E+05
BA,1,B1,Ancestor,0,223,1000,0.1,2.23E+06
BA,2,B1,Ancestor,0,192,1000,0.1,1.92E+06
BA,3,B1,Ancestor,0,212,1000,0.1,2.12E+06
GA,1,new G1,Ancestor,0,41,1000,0.1,4.10E+05
GA,2,new G1,Ancestor,0,49,1000,0.1,4.90E+05
GA,3,new G1,Ancestor,0,43,1000,0.1,4.30E+05
AA,1,Ancestor,Ancestor,2,611,10000,0.1,6.11E+07
AA,2,Ancestor,Ancestor,2,639,10000,0.1,6.39E+07
AA,3,Ancestor,Ancestor,2,847,10000,0.1,8.47E+07
AB,1,Ancestor,B1,2,223,10000,0.1,2.23E+07
AB,2,Ancestor,B1,2,243,10000,0.1,2.43E+07
AB,3,Ancestor,B1,2,248,10000,0.1,2.48E+07
AG,1,Ancestor,new G1,2,84,10000,0.1,8.40E+06
AG,2,Ancestor,new G1,2,67,10000,0.1,6.70E+06
AG,3,Ancestor,new G1,2,87,10000,0.1,8.70E+06
A,1,Ancestor,NA,2,574,10000,0.1,5.74E+07
A,2,Ancestor,NA,2,658,10000,0.1,6.58E+07
A,3,Ancestor,NA,2,609,10000,0.1,6.09E+07
B,1,B1,NA,2,114,10000,0.1,1.14E+07
B,2,B1,NA,2,114,10000,0.1,1.14E+07
