Sample.Name,Target.Name,CT,Ct.Mean,Ct.SD,Ct.Threshold,Baseline.Start,Baseline.End,Amp.Status,Comments,Cq.Conf,THOLDFAIL,CQCONF,EXPFAIL,HIGHSD,OUTLIERRG,MTP,Tm1,Tm2,Tm3,Tm4
WT1,pflM2,30.975,30.513,0.342,0.187,3,26,Amp,NA,0.964,N,N,N,N,N,N,91.336,NA,NA,NA
WT1,pflM2,30.163,30.513,0.342,0.187,3,25,Amp,NA,0.968,N,N,N,N,N,N,91.204,NA,NA,NA
WT1,pflM2,30.523,30.513,0.342,0.187,3,25,Amp,NA,0.965,N,N,N,N,N,N,91.204,NA,NA,NA
fm3,pflM2,10.904,12.572,3.048,0.187,3,7,Amp,NA,0.991,N,N,N,Y,N,N,91.24,NA,NA,NA
fm3,pflM2,17.138,12.572,3.048,0.187,3,13,Amp,NA,0.947,N,N,N,Y,Y,N,91.24,NA,NA,NA
fm3,pflM2,11.272,12.572,3.048,0.187,3,7,Amp,NA,0.985,N,N,N,Y,N,N,91.443,NA,NA,NA
fm3,pflM2,10.975,12.572,3.048,0.187,3,7,Amp,NA,0.993,N,N,N,Y,N,N,91.584,NA,NA,NA
WT2,pflM2,30.504,30.295,0.909,0.187,3,25,Amp,NA,0.968,N,N,N,Y,N,N,91.204,NA,NA,NA
WT3,pflM2,30.055,30.468,0.408,0.187,3,25,Amp,NA,0.969,N,N,N,N,N,N,91.195,NA,NA,NA
WT3,pflM2,31.024,30.468,0.408,0.187,3,25,Amp,NA,0.967,N,N,N,N,N,N,91.054,NA,NA,NA
WT3,pflM2,30.463,30.468,0.408,0.187,3,25,Amp,NA,0.963,N,N,N,N,N,N,91.063,NA,NA,NA
f1,pflM2,9.334,9.542,0.4,0.187,3,5,Amp,NA,0.989,N,N,N,N,N,N,91.195,NA,NA,NA
f1,pflM2,10.141,9.542,0.4,0.187,3,6,Amp,NA,0.989,N,N,N,N,Y,N,91.054,NA,NA,NA
f1,pflM2,9.362,9.542,0.4,0.187,3,5,Amp,NA,0.989,N,N,N,N,N,N,91.204,NA,NA,NA
f1,pflM2,9.33,9.542,0.4,0.187,3,5,Amp,NA,0.987,N,N,N,N,N,N,91.204,NA,NA,NA
f2,pflM2,10.389,10.463,0.445,0.187,3,6,Amp,NA,0.985,N,N,N,N,N,N,91.054,NA,NA,NA
f2,pflM2,10.282,10.463,0.445,0.187,3,6,Amp,NA,0.984,N,N,N,N,N,N,90.913,NA,NA,NA
f2,pflM2,10.08,10.463,0.445,0.187,3,6,Amp,NA,0.988,N,N,N,N,N,N,91.204,NA,NA,NA
f2,pflM2,11.103,10.463,0.445,0.187,3,7,Amp,NA,0.973,N,N,N,N,N,N,91.204,NA,NA,NA
f3,pflM2,9.628,9.887,0.371,0.187,3,5,Amp,NA,0.981,N,N,N,N,N,N,91.054,NA,NA,NA
f3,pflM2,10.251,9.887,0.371,0.187,3,6,Amp,NA,0.986,N,N,N,N,N,N,90.913,NA,NA,NA
f3,pflM2,10.157,9.887,0.371,0.187,3,6,Amp,NA,0.981,N,N,N,N,N,N,91.204,NA,NA,NA
f3,pflM2,9.513,9.887,0.371,0.187,3,5,Amp,NA,0.986,N,N,N,N,N,N,91.204,NA,NA,NA
fm1,pflM2,10.522,10.646,0.154,0.187,3,6,Amp,NA,0.982,N,N,N,N,N,N,91.054,NA,NA,NA
fm1,pflM2,10.528,10.646,0.154,0.187,3,6,Amp,NA,0.988,N,N,N,N,N,N,90.913,NA,NA,NA
fm1,pflM2,10.847,10.646,0.154,0.187,3,7,Amp,NA,0.991,N,N,N,N,N,N,91.204,NA,NA,NA
fm1,pflM2,10.686,10.646,0.154,0.187,3,6,Amp,NA,0.988,N,N,N,N,N,N,91.204,NA,NA,NA
fm2,pflM2,9.552,9.104,0.401,0.187,3,5,Amp,NA,0.976,N,N,N,N,N,N,91.054,NA,NA,NA
fm2,pflM2,8.79,9.104,0.401,0.187,3,5,Amp,NA,0.995,N,N,N,N,N,N,90.913,NA,NA,NA
fm2,pflM2,8.742,9.104,0.401,0.187,3,5,Amp,NA,0.989,N,N,N,N,N,N,91.204,NA,NA,NA
fm2,pflM2,9.331,9.104,0.401,0.187,3,5,Amp,NA,0.992,N,N,N,N,N,N,91.204,NA,NA,NA
pil1,pflM2,20.885,20.95,0.177,0.187,3,16,Amp,NA,0.968,N,N,N,N,N,N,91.24,NA,NA,NA
pil1,pflM2,21.189,20.95,0.177,0.187,3,16,Amp,NA,0.965,N,N,N,N,N,N,91.161,NA,NA,NA
