sample,num,Target.Name,CT,Ct.Mean,Ct.SD,Automatic.Ct.Threshold,Ct.Threshold,Automatic.Baseline,Baseline.Start,Baseline.End,Amp.Status,Cq.Conf,Tm1,Tm2,Tm3,Tm4,HIGHSD,MTP,df,hour_num,CT_num,dil_log10copies,dil_copies,copies,log10copies
B1,t0,pflM2,26.695,26.598,0.304,TRUE,0.321,TRUE,3,21,Amp,0.965,91.328,NA,NA,NA,N,N,dil_qPCR_1,0,26.695,3.275471591,1885.695616,18856.95616,4.275471591
B1,t0,pflM2,26.257,26.598,0.304,TRUE,0.321,TRUE,3,20,Amp,0.966,91.317,NA,NA,NA,N,N,dil_qPCR_1,0,26.257,3.395079201,2483.585989,24835.85989,4.395079201
B1,t33,pflM2,12.877,13.271,0.627,TRUE,0.321,TRUE,3,8,Amp,0.923,91.458,NA,NA,NA,Y,N,dil_qPCR_1,33,12.877,7.04884591,11190407.7,111904077,8.04884591
B1,t33,pflM2,12.941,13.271,0.627,TRUE,0.321,TRUE,3,8,Amp,0.965,91.371,NA,NA,NA,Y,N,dil_qPCR_1,33,12.941,7.031368999,10749023.16,107490231.6,8.031368999
B1,t33,pflM2,13.994,13.271,0.627,TRUE,0.321,TRUE,3,8,Amp,0.929,91.371,NA,NA,NA,Y,N,dil_qPCR_1,33,13.994,6.743819197,5543948.626,55439486.26,7.743819197
B1,t76,pflM2,26.202,26.115,0.12,TRUE,0.321,TRUE,3,20,Amp,0.959,91.404,NA,NA,NA,N,N,dil_qPCR_1,76,26.202,3.410098422,2570.978362,25709.78362,4.410098422
B1,t76,pflM2,25.978,26.115,0.12,TRUE,0.321,TRUE,3,19,Amp,0.957,91.404,NA,NA,NA,N,N,dil_qPCR_1,76,25.978,3.47126761,2959.835741,29598.35741,4.47126761
B1,t76,pflM2,26.165,26.115,0.12,TRUE,0.321,TRUE,3,20,Amp,0.96,91.645,NA,NA,NA,N,N,dil_qPCR_1,76,26.165,3.420202261,2631.493252,26314.93252,4.420202261
B2,t30,pflM2,15.627,15.88,0.376,TRUE,0.321,TRUE,3,10,Amp,0.925,91.645,NA,NA,NA,N,N,dil_qPCR_1,30,15.627,6.29788489,1985568.57,19855685.7,7.29788489
B2,t30,pflM2,15.701,15.88,0.376,TRUE,0.321,TRUE,3,10,Amp,0.942,91.626,NA,NA,NA,N,N,dil_qPCR_1,30,15.701,6.277677211,1895296.721,18952967.21,7.277677211
B2,t30,pflM2,16.311,15.88,0.376,TRUE,0.321,TRUE,3,11,Amp,0.972,92.05,NA,NA,NA,N,N,dil_qPCR_1,30,16.311,6.111100403,1291517.821,12915178.21,7.111100403
B1,t3,pflM2,18.767,19.028,0.227,TRUE,0.321,TRUE,3,12,Amp,0.956,91.469,NA,NA,NA,N,N,dil_qPCR_1,3,18.767,5.440423943,275691.8598,2756918.598,6.440423943
B1,t3,pflM2,19.184,19.028,0.227,TRUE,0.321,TRUE,3,13,Amp,0.959,91.328,NA,NA,NA,N,N,dil_qPCR_1,3,19.184,5.326550945,212105.0187,2121050.187,6.326550945
B1,t3,pflM2,19.132,19.028,0.227,TRUE,0.321,TRUE,3,14,Amp,0.953,91.317,NA,NA,NA,N,N,dil_qPCR_1,3,19.132,5.340750935,219154.7737,2191547.737,6.340750935
B1,t36,pflM2,14.192,14.448,0.263,TRUE,0.321,TRUE,3,9,Amp,0.948,91.317,NA,NA,NA,N,N,dil_qPCR_1,36,14.192,6.689750004,4894969.653,48949696.53,7.689750004
B1,t36,pflM2,14.718,14.448,0.263,TRUE,0.321,TRUE,3,9,Amp,0.939,91.229,NA,NA,NA,N,N,dil_qPCR_1,36,14.718,6.546111641,3516508.255,35165082.55,7.546111641
B1,t36,pflM2,14.434,14.448,0.263,TRUE,0.321,TRUE,3,9,Amp,0.945,91.229,NA,NA,NA,N,N,dil_qPCR_1,36,14.434,6.623665434,4204026.393,42040263.93,7.623665434
B2,t0,pflM2,25.1,25.573,0.43,TRUE,0.321,TRUE,3,19,Amp,0.957,91.263,NA,NA,NA,N,N,dil_qPCR_1,0,25.1,3.711028983,5140.779579,51407.79579,4.711028983
B2,t0,pflM2,25.94,25.573,0.43,TRUE,0.321,TRUE,3,20,Amp,0.971,91.362,NA,NA,NA,N,N,dil_qPCR_1,0,25.94,3.481644526,3031.408933,30314.08933,4.481644526
B1,t6,pflM2,14.988,14.993,0.015,TRUE,0.321,TRUE,3,9,Amp,0.944,91.328,NA,NA,NA,N,N,dil_qPCR_1,6,14.988,6.472380923,2967433.006,29674330.06,7.472380923
B1,t6,pflM2,14.981,14.993,0.015,TRUE,0.321,TRUE,3,10,Amp,0.943,91.187,NA,NA,NA,N,N,dil_qPCR_1,6,14.981,6.47429246,2980522.88,29805228.8,7.47429246
B1,t6,pflM2,15.01,14.993,0.015,TRUE,0.321,TRUE,3,9,Amp,0.958,91.176,NA,NA,NA,N,N,dil_qPCR_1,6,15.01,6.466373235,2926666.489,29266664.89,7.466373235
B1,t48,pflM2,14.014,14.22,0.2,TRUE,0.321,TRUE,3,8,Amp,0.954,91.317,NA,NA,NA,N,N,dil_qPCR_1,48,14.014,6.738357662,5474666.424,54746664.24,7.738357662
B1,t48,pflM2,14.413,14.22,0.2,TRUE,0.321,TRUE,3,9,Amp,0.951,91.229,NA,NA,NA,N,N,dil_qPCR_1,48,14.413,6.629400045,4259906.288,42599062.88,7.629400045
B1,t48,pflM2,14.233,14.22,0.2,TRUE,0.321,TRUE,3,8,Amp,0.943,91.229,NA,NA,NA,N,N,dil_qPCR_1,48,14.233,6.678553858,4770389.688,47703896.88,7.678553858
B2,t3,pflM2,20.953,21.583,0.559,TRUE,0.321,TRUE,3,15,Amp,0.961,91.123,NA,NA,NA,Y,N,dil_qPCR_1,3,20.953,4.843478201,69739.39915,697393.9915,5.843478201
B2,t3,pflM2,21.777,21.583,0.559,TRUE,0.321,TRUE,3,16,Amp,0.96,91.123,NA,NA,NA,Y,N,dil_qPCR_1,3,21.777,4.618462972,41539.6633,415396.633,5.618462972
B2,t3,pflM2,22.02,21.583,0.559,TRUE,0.321,TRUE,3,14,Amp,0.969,91.221,NA,NA,NA,Y,N,dil_qPCR_1,3,22.02,4.552105326,35653.75908,356537.5908,5.552105326
