sample,Target.Name,Reporter,CT,Ct.Mean,Ct.SD,Automatic.Ct.Threshold,Ct.Threshold,Automatic.Baseline,Baseline.Start,Baseline.End,Amp.Status,Cq.Conf,Tm1,Tm2,Tm3,Tm4,CQCONF,EXPFAIL,HIGHSD,OUTLIERRG,MTP,count,count_num,CT_num
p,pflM2,SYBR,29.883,29.759,0.315,TRUE,0.254,TRUE,3,25,Amp,0.949,91.374,NA,NA,NA,N,N,N,N,N,300,2.477121255,29.883
p,pflM2,SYBR,4.288,4.432,0.143,TRUE,0.254,TRUE,3,3,Amp,0.957,91.195,NA,NA,NA,N,N,N,N,N,3e+09,9.477121255,4.288
p,pflM2,SYBR,4.573,4.432,0.143,TRUE,0.254,TRUE,3,3,Amp,0.962,91.195,NA,NA,NA,N,N,N,N,N,3e+09,9.477121255,4.573
p,pflM2,SYBR,4.435,4.432,0.143,TRUE,0.254,TRUE,3,3,Amp,0.955,91.233,NA,NA,NA,N,N,N,N,N,3e+09,9.477121255,4.435
p,pflM2,SYBR,7.457,7.33,0.338,TRUE,0.254,TRUE,3,4,Amp,0.991,91.054,NA,NA,NA,N,N,N,N,N,3e+08,8.477121255,7.457
p,pflM2,SYBR,6.947,7.33,0.338,TRUE,0.254,TRUE,3,3,Amp,0.991,91.054,NA,NA,NA,N,N,N,N,N,3e+08,8.477121255,6.947
p,pflM2,SYBR,7.586,7.33,0.338,TRUE,0.254,TRUE,3,4,Amp,0.99,91.092,NA,NA,NA,N,N,N,N,N,3e+08,8.477121255,7.586
p,pflM2,SYBR,11.529,11.327,0.195,TRUE,0.254,TRUE,3,7,Amp,0.989,91.054,NA,NA,NA,N,N,N,N,N,3e+07,7.477121255,11.529
p,pflM2,SYBR,11.14,11.327,0.195,TRUE,0.254,TRUE,3,6,Amp,0.974,91.054,NA,NA,NA,N,N,N,N,N,3e+07,7.477121255,11.14
p,pflM2,SYBR,11.313,11.327,0.195,TRUE,0.254,TRUE,3,6,Amp,0.986,91.092,NA,NA,NA,N,N,N,N,N,3e+07,7.477121255,11.313
p,pflM2,SYBR,14.723,14.739,0.106,TRUE,0.254,TRUE,3,9,Amp,0.968,91.054,NA,NA,NA,N,N,N,N,N,3e+06,6.477121255,14.723
p,pflM2,SYBR,14.851,14.739,0.106,TRUE,0.254,TRUE,3,10,Amp,0.973,91.054,NA,NA,NA,N,N,N,N,N,3e+06,6.477121255,14.851
p,pflM2,SYBR,14.642,14.739,0.106,TRUE,0.254,TRUE,3,9,Amp,0.966,90.95,NA,NA,NA,N,N,N,N,N,3e+06,6.477121255,14.642
p,pflM2,SYBR,18.34,18.341,0.053,TRUE,0.254,TRUE,3,13,Amp,0.958,91.054,NA,NA,NA,N,N,N,N,N,3e+05,5.477121255,18.34
p,pflM2,SYBR,18.394,18.341,0.053,TRUE,0.254,TRUE,3,12,Amp,0.952,91.054,NA,NA,NA,N,N,N,N,N,3e+05,5.477121255,18.394
p,pflM2,SYBR,18.288,18.341,0.053,TRUE,0.254,TRUE,3,12,Amp,0.961,90.95,NA,NA,NA,N,N,N,N,N,3e+05,5.477121255,18.288
p,pflM2,SYBR,22.482,22.488,0.023,TRUE,0.254,TRUE,3,17,Amp,0.967,91.054,NA,NA,NA,N,N,N,N,N,30000,4.477121255,22.482
p,pflM2,SYBR,22.468,22.488,0.023,TRUE,0.254,TRUE,3,17,Amp,0.965,91.054,NA,NA,NA,N,N,N,N,N,30000,4.477121255,22.468
p,pflM2,SYBR,22.513,22.488,0.023,TRUE,0.254,TRUE,3,16,Amp,0.966,90.95,NA,NA,NA,N,N,N,N,N,30000,4.477121255,22.513
p,pflM2,SYBR,26.026,26.05,0.058,TRUE,0.254,TRUE,3,20,Amp,0.962,90.913,NA,NA,NA,N,N,N,N,N,3000,3.477121255,26.026
p,pflM2,SYBR,26.008,26.05,0.058,TRUE,0.254,TRUE,3,21,Amp,0.967,91.054,NA,NA,NA,N,N,N,N,N,3000,3.477121255,26.008
p,pflM2,SYBR,26.116,26.05,0.058,TRUE,0.254,TRUE,3,20,Amp,0.965,90.95,NA,NA,NA,N,N,N,N,N,3000,3.477121255,26.116
zc,zot-cap,SYBR,25.713,26.303,0.576,TRUE,0.337,TRUE,3,20,Amp,0.961,81.902,NA,NA,NA,N,N,Y,N,N,1000,3,25.713
zc,zot-cap,SYBR,26.332,26.303,0.576,TRUE,0.337,TRUE,3,21,Amp,0.972,81.751,NA,NA,NA,N,N,Y,N,N,1000,3,26.332
zc,zot-cap,SYBR,26.865,26.303,0.576,TRUE,0.337,TRUE,3,21,Amp,0.97,81.751,NA,NA,NA,N,N,Y,N,N,1000,3,26.865
zc,zot-cap,SYBR,28.713,28.676,0.347,TRUE,0.337,TRUE,3,23,Amp,0.969,81.902,NA,NA,NA,N,N,N,N,N,100,2,28.713
zc,zot-cap,SYBR,28.312,28.676,0.347,TRUE,0.337,TRUE,3,22,Amp,0.959,81.61,NA,NA,NA,N,N,N,N,N,100,2,28.312
