Competition,Freq,Competition_rep,Strain,Bio_rep,Time_h,Twitch_mm
PA14 Ancestor vs Lac Ancestor,1:9,1,PA14 Ancestor,1,0,9.5
PA14 Ancestor vs Lac Ancestor,1:9,1,Lac Ancestor,1,0,8
PA14 Ancestor vs Lac Ancestor,1:9,2,PA14 Ancestor,1,0,5
PA14 Ancestor vs Lac Ancestor,1:9,2,Lac Ancestor,1,0,10
PA14 Ancestor vs Lac Ancestor,1:9,3,PA14 Ancestor,1,0,10
PA14 Ancestor vs Lac Ancestor,1:9,3,Lac Ancestor,1,0,3
PA14 Ancestor vs Lac Ancestor,9:1,1,PA14 Ancestor,1,0,7.5
PA14 Ancestor vs Lac Ancestor,9:1,1,Lac Ancestor,1,0,8.5
PA14 Ancestor vs Lac Ancestor,9:1,2,PA14 Ancestor,1,0,5
PA14 Ancestor vs Lac Ancestor,9:1,2,Lac Ancestor,1,0,8
PA14 Ancestor vs Lac Ancestor,9:1,3,PA14 Ancestor,1,0,9
PA14 Ancestor vs Lac Ancestor,9:1,3,Lac Ancestor,1,0,9
PA14 Ancestor vs new G1,1:99,1,PA14 Ancestor,1,0,8.5
PA14 Ancestor vs new G1,1:99,1,new G1,1,0,8
PA14 Ancestor vs new G1,1:99,2,PA14 Ancestor,1,0,8.5
PA14 Ancestor vs new G1,1:99,3,PA14 Ancestor,1,0,8.5
PA14 Ancestor vs new G1,1:9,1,PA14 Ancestor,1,0,9.5
PA14 Ancestor vs new G1,1:9,1,new G1,1,0,1
PA14 Ancestor vs new G1,1:9,2,PA14 Ancestor,1,0,9
PA14 Ancestor vs new G1,1:9,2,new G1,1,0,8
PA14 Ancestor vs new G1,1:9,3,PA14 Ancestor,1,0,8.5
PA14 Ancestor vs new G1,1:9,3,new G1,1,0,9
PA14 Ancestor vs new G1,9:1,1,PA14 Ancestor,1,0,8.5
PA14 Ancestor vs new G1,9:1,1,new G1,1,0,10
PA14 Ancestor vs new G1,9:1,2,PA14 Ancestor,1,0,10
PA14 Ancestor vs new G1,9:1,2,new G1,1,0,6.5
PA14 Ancestor vs new G1,9:1,3,PA14 Ancestor,1,0,9
PA14 Ancestor vs new G1,9:1,3,new G1,1,0,7
PA14 Ancestor vs B1,1:99,1,PA14 Ancestor,1,0,9.5
PA14 Ancestor vs B1,1:99,1,B1,1,0,9.5
PA14 Ancestor vs B1,1:99,2,PA14 Ancestor,1,0,7
PA14 Ancestor vs B1,1:99,2,B1,1,0,6.5
